Neighborhood Name,Neighborhood Number,Total Population,Language: English %,Language: Spanish %,Language: Indoeuropean %,Language: Asian/ Pac. Is. %,Language: Other/Mixed %,No HS Diploma/GED %,High School/GED %,Associates Degree or Some College %,Bachelors or Graduate Degrees %,Bachelors Degree %,Graduate Degree %,Resident Commute: Drive Alone %,Resident Commute: Carpool %,Resident Commute: Public Transportation %,Resident Commute: Walk %,Resident Commute: Bike %,Resident Commute: Other %,Resident Commute: Work at Home %,No Vehicles Available %,1 Household Vehicle Available %,2 Household Vehicles Available %,3 or more Vehicles Available %,Per Capita Income,Individual Poverty Rate,Poverty Rate Single Mother HHs,Poverty Rate Families,Latitude,Longitude,Neighborhood Centerpoint,Police Neighborhood Regions,Police Response Districts,cambridge_neighborhoods,cambridge_cdd_zoning,Census Blocks 2010
East Cambridge,1,10336,0.632,0.103,0.105,0.115,0.044,0.066,0.103,0.07,0.762,0.274,0.487,0.278,0.038,0.306,0.273,0.042,0.015,0.048,0.344,0.504,0.119,0.033,63343.32,0.163,0.194,0.095,42.36825467,-71.07904835,POINT (-71.07904835 42.36825467),4,57,8,118,152
West Cambridge,10,8603,0.795,0.033,0.098,0.055,0.019,0.017,0.033,0.056,0.894,0.249,0.645,0.366,0.035,0.246,0.164,0.065,0.015,0.109,0.155,0.523,0.241,0.082,96403.42,0.05,0.111,0.026,42.37668846,-71.13616913,POINT (-71.13616913 42.37668846),12,39,12,171,622
The Port,4,7053,0.653,0.105,0.144,0.062,0.037,0.08,0.09,0.16,0.67,0.304,0.366,0.268,0.022,0.34,0.217,0.111,0.015,0.027,0.314,0.5,0.146,0.04,40430.8,0.168,0.417,0.118,42.36576293,-71.0968234,POINT (-71.0968234 42.36576293),7,72,1,221,488
Mid-Cambridge,6,13438,0.72,0.065,0.115,0.08,0.021,0.036,0.061,0.063,0.84,0.327,0.513,0.245,0.022,0.285,0.258,0.095,0.007,0.088,0.383,0.459,0.129,0.029,54060.22,0.146,0.573,0.072,42.37251357,-71.10836068,POINT (-71.10836068 42.37251357),10,47,6,221,587
City of Cambridge,100,110893,0.675,0.07,0.129,0.09,0.037,0.053,0.089,0.093,0.765,0.29,0.474,0.278,0.032,0.298,0.241,0.07,0.01,0.071,0.314,0.498,0.155,0.034,52551.69,0.135,0.291,0.079,,,,,,,,
Agassiz,8,5382,0.751,0.075,0.092,0.07,0.013,0.012,0.037,0.085,0.866,0.316,0.551,0.205,0.042,0.252,0.349,0.071,0.019,0.063,0.346,0.449,0.159,0.047,45850.58,0.069,0.36,0.013,42.38072698,-71.11535366,POINT (-71.11535366 42.38072698),9,29,9,228,834
Cambridgeport,5,12621,0.704,0.063,0.101,0.108,0.024,0.046,0.08,0.082,0.793,0.288,0.505,0.246,0.019,0.311,0.251,0.079,0.012,0.082,0.355,0.466,0.16,0.019,55041,0.129,0.451,0.09,42.3591933,-71.10780282,POINT (-71.10780282 42.3591933),11,111,4,205,210
North Cambridge,11,13951,0.562,0.06,0.177,0.083,0.119,0.076,0.148,0.136,0.641,0.261,0.38,0.368,0.046,0.421,0.067,0.034,0.01,0.055,0.24,0.559,0.182,0.018,50183.73,0.164,0.309,0.124,42.39532291,-71.1360746,POINT (-71.1360746 42.39532291),6,5,13,215,1107
Neighborhood Nine,9,12034,0.745,0.04,0.103,0.074,0.039,0.018,0.074,0.065,0.844,0.29,0.553,0.3,0.028,0.272,0.225,0.057,0.013,0.104,0.297,0.541,0.127,0.035,64742.37,0.115,0.153,0.048,42.38516552,-71.12829033,POINT (-71.12829033 42.38516552000001),8,15,2,217,796
Wellington-Harrington,3,6576,0.651,0.113,0.206,0.025,0.004,0.138,0.167,0.109,0.586,0.277,0.31,0.33,0.039,0.28,0.215,0.099,0.001,0.035,0.318,0.512,0.121,0.05,43235.25,0.155,0.251,0.119,42.37103225,-71.0930358,POINT (-71.0930358 42.37103225),3,61,7,221,564
MIT,2,4859,0.573,0.078,0.113,0.218,0.018,0,0.015,0.093,0.893,0.386,0.507,0.079,0.031,0.091,0.622,0.072,0.007,0.098,0.364,0.498,0.071,0.067,13137.58,0.225,0,0.083,42.35799009,-71.09137581,POINT (-71.09137581 42.35799009),5,90,3,271,6
Cambridge Highlands,12,1332,0.679,0.005,0.227,0.089,0,0.054,0.123,0.143,0.68,0.267,0.413,0.404,0,0.443,0,0,0.001,0.152,0.13,0.497,0.373,0,56993.39,0.053,0,0,42.39005299,-71.1499115,POINT (-71.1499115 42.39005299),1,9,10,244,740
Strawberry Hill,13,2347,0.705,0.049,0.186,0.056,0.004,0.091,0.111,0.179,0.619,0.254,0.364,0.526,0.07,0.196,0.073,0.117,0,0.019,0.216,0.488,0.275,0.02,44129.57,0.097,0.432,0.083,42.3806768,-71.15282611,POINT (-71.15282611 42.3806768),2,18,11,249,864
Riverside,7,12361,0.633,0.082,0.139,0.122,0.024,0.054,0.075,0.086,0.785,0.337,0.447,0.175,0.03,0.277,0.385,0.064,0.001,0.068,0.45,0.419,0.111,0.021,31034.6,0.155,0.102,0.069,42.36735999,-71.11405066,POINT (-71.11405066 42.36735999),13,58,5,196,197
